booking_id,customer_id,status,check_in,check_out,no_of_rooms,hotel_id,amount,discount,date_of_booking
116,35354,Stayed,19-01-2017,20-01-2017,1,597,2796,592,18-01-2017
117,35354,Stayed,15-01-2017,19-01-2017,1,597,10270,2173,14-01-2017
118,119500,Stayed,16-01-2017,17-01-2017,1,597,2555,540,16-01-2017
119,137573,Cancelled,19-01-2017,20-01-2017,1,597,2664,563,07-01-2017
120,137573,Cancelled,06-01-2017,07-01-2017,1,597,2729,693,06-01-2017
121,13793,Stayed,30-01-2017,31-01-2017,1,154,2339,495,30-01-2017
122,38109,Cancelled,24-01-2017,25-01-2017,1,154,1212,308,24-01-2017
123,106210,Stayed,19-01-2017,20-01-2017,1,154,1884,398,19-01-2017
124,106210,Cancelled,19-01-2017,20-01-2017,1,154,2534,558,09-01-2017
125,195339,No Show,03-02-2017,04-02-2017,1,84,1819,385,30-01-2017
126,91702,Stayed,26-01-2017,27-01-2017,1,84,2794,591,25-01-2017
127,46373,No Show,25-01-2017,26-01-2017,1,84,2729,578,21-01-2017
128,47963,Stayed,19-01-2017,20-01-2017,1,84,2209,468,19-01-2017
129,35610,Stayed,17-01-2017,18-01-2017,1,84,2079,440,17-01-2017
130,191775,Stayed,16-01-2017,17-01-2017,1,84,2079,440,12-01-2017
131,47942,Stayed,16-01-2017,17-01-2017,1,84,1689,372,16-01-2017
132,47942,Stayed,15-01-2017,16-01-2017,1,84,1819,462,05-01-2017
133,115548,No Show,06-01-2017,09-01-2017,1,84,5456,0,05-01-2017
134,49619,Stayed,27-01-2017,29-01-2017,1,894,6627,1682,05-01-2017
135,12023,Stayed,07-01-2017,08-01-2017,1,894,2794,710,04-01-2017
136,49619,Cancelled,27-01-2017,29-01-2017,1,894,5847,1238,05-01-2017
137,72648,Stayed,31-01-2017,01-02-2017,1,612,1949,413,29-01-2017
138,67726,Stayed,12-01-2017,13-01-2017,1,612,2339,495,10-01-2017
139,33288,Stayed,11-01-2017,12-01-2017,1,612,2599,660,09-01-2017
140,197674,Stayed,26-01-2017,27-01-2017,1,251,2469,523,25-01-2017
141,197674,Cancelled,26-01-2017,27-01-2017,1,251,2794,591,24-01-2017
142,92482,Stayed,23-01-2017,24-01-2017,1,251,2404,508,23-01-2017
143,133399,Stayed,25-01-2017,29-01-2017,1,975,9292,2044,24-01-2017
144,65660,Stayed,25-01-2017,26-01-2017,1,975,1689,372,24-01-2017
145,133399,Stayed,20-01-2017,25-01-2017,1,975,10719,2358,17-01-2017
146,65660,Stayed,17-01-2017,21-01-2017,1,975,7145,1572,16-01-2017
147,133399,Stayed,18-01-2017,19-01-2017,1,975,2100,462,09-01-2017
148,71338,Stayed,22-01-2017,23-01-2017,1,83,2404,508,22-01-2017
149,112913,Stayed,29-01-2017,02-02-2017,1,409,26255,5554,01-01-2017
150,82881,Stayed,13-02-2017,15-02-2017,1,106,6627,1403,13-01-2017
151,77179,Stayed,13-01-2017,14-01-2017,1,106,2469,523,13-01-2017
152,77179,Stayed,09-01-2017,13-01-2017,1,106,9027,2291,08-01-2017
153,77179,Stayed,02-01-2017,06-01-2017,1,106,11887,2515,01-01-2017
154,155955,Cancelled,22-01-2017,23-01-2017,1,874,1884,479,22-01-2017
155,76850,Stayed,09-01-2017,10-01-2017,1,874,1104,281,09-01-2017
156,42304,Cancelled,26-01-2017,29-01-2017,1,244,7406,1566,24-01-2017
157,109973,Cancelled,22-01-2017,23-01-2017,1,244,2209,561,21-01-2017
158,49442,Cancelled,05-01-2017,06-01-2017,1,244,2079,528,04-01-2017
159,79360,Stayed,03-01-2017,04-01-2017,1,244,2209,561,03-01-2017
160,197635,Stayed,23-01-2017,25-01-2017,1,408,3897,857,22-01-2017
161,95113,Stayed,06-01-2017,09-01-2017,1,408,6626,1682,05-01-2017
162,11342,Stayed,26-01-2017,28-01-2017,1,554,5067,1073,26-01-2017
163,11342,Cancelled,26-01-2017,29-01-2017,1,554,7925,1676,24-01-2017
164,163441,Stayed,19-01-2017,20-01-2017,1,554,2209,468,17-01-2017
165,6989,Stayed,15-01-2017,16-01-2017,1,554,2209,468,15-01-2017
166,195788,No Show,08-01-2017,09-01-2017,1,554,2014,512,07-01-2017
167,26072,Stayed,23-01-2017,25-01-2017,1,353,3897,857,23-01-2017
168,109973,Stayed,21-01-2017,22-01-2017,1,353,2534,536,21-01-2017
169,192648,Cancelled,30-01-2017,31-01-2017,1,757,3336,706,29-01-2017
170,9197,Cancelled,14-01-2017,15-01-2017,1,757,3137,796,01-01-2017
171,9197,Cancelled,16-01-2017,17-01-2017,1,757,3137,663,01-01-2017
172,97775,Stayed,07-01-2017,08-01-2017,1,757,3101,788,06-01-2017
173,43374,Stayed,06-01-2017,07-01-2017,2,757,6201,1574,05-01-2017
174,97775,Cancelled,08-01-2017,09-01-2017,1,757,3000,761,06-01-2017
175,137492,Stayed,31-01-2017,01-02-2017,1,820,2079,440,31-01-2017
176,137492,Stayed,24-01-2017,25-01-2017,1,820,2339,495,24-01-2017
177,137492,Stayed,17-01-2017,18-01-2017,1,820,2339,495,17-01-2017
178,67129,Stayed,08-03-2017,12-03-2017,1,691,7618,1612,27-01-2017
179,140961,Stayed,31-01-2017,01-02-2017,1,691,2391,607,31-01-2017
180,100962,Cancelled,02-02-2017,03-02-2017,1,691,2094,443,31-01-2017
181,8240,Stayed,31-01-2017,13-02-2017,1,691,28882,6109,30-01-2017
182,140961,Cancelled,31-01-2017,01-02-2017,1,691,2391,506,31-01-2017
183,137438,Cancelled,30-01-2017,01-02-2017,2,691,6698,1474,30-01-2017
184,87218,Cancelled,21-01-2017,24-01-2017,12,691,83538,18379,18-01-2017
185,53022,No Show,11-01-2017,12-01-2017,1,691,1856,0,11-01-2017
186,137492,Stayed,06-01-2017,07-01-2017,1,691,1563,331,06-01-2017
187,33193,Stayed,05-01-2017,06-01-2017,1,691,2648,672,05-01-2017
188,171363,Stayed,09-01-2017,10-01-2017,1,691,1859,472,08-01-2017
189,85876,Stayed,14-01-2017,28-01-2017,1,280,25644,5425,09-01-2017
190,154952,Stayed,27-01-2017,28-01-2017,1,280,1832,387,06-01-2017
191,154952,Cancelled,28-01-2017,29-01-2017,1,280,1832,387,06-01-2017
192,154952,Stayed,26-01-2017,27-01-2017,1,280,1832,387,03-01-2017
193,189029,Cancelled,30-01-2017,04-02-2017,1,978,29049,6145,29-01-2017
194,197267,Stayed,22-01-2017,23-01-2017,1,633,3964,0,21-01-2017
195,100627,Cancelled,08-01-2017,09-01-2017,1,633,4289,1089,05-01-2017
196,100627,Cancelled,08-01-2017,09-01-2017,1,888,3379,858,05-01-2017
197,139720,Cancelled,20-01-2017,22-01-2017,1,888,5912,1300,20-01-2017
198,139720,Cancelled,20-01-2017,22-01-2017,1,888,6627,1458,15-01-2017
199,150865,Cancelled,22-01-2017,23-01-2017,1,699,4484,1898,21-01-2017
200,166969,Cancelled,20-01-2017,21-01-2017,1,699,4029,853,18-01-2017
201,29563,Stayed,27-02-2017,03-03-2017,1,627,6776,1433,25-01-2017
202,21667,Stayed,10-01-2017,12-01-2017,1,627,3224,846,09-01-2017
203,54558,Stayed,31-01-2017,01-02-2017,1,219,1689,358,30-01-2017
204,119500,Cancelled,04-01-2017,05-01-2017,1,219,2209,561,04-01-2017
205,160575,Cancelled,07-01-2017,08-01-2017,1,637,2339,594,05-01-2017
206,137492,Stayed,19-01-2017,20-01-2017,1,635,1949,413,19-01-2017
207,137492,Stayed,09-01-2017,10-01-2017,1,635,1754,446,09-01-2017
208,177755,Stayed,27-01-2017,28-01-2017,1,635,2209,468,27-01-2017
209,137492,Cancelled,21-01-2017,22-01-2017,1,635,2209,468,21-01-2017
210,137492,Stayed,11-01-2017,12-01-2017,1,635,1754,371,11-01-2017
211,137078,Cancelled,31-01-2017,02-02-2017,1,359,4742,1043,25-01-2017
212,14687,Stayed,19-01-2017,20-01-2017,1,359,1819,385,19-01-2017
213,61768,Stayed,28-01-2017,29-01-2017,1,842,2205,485,28-01-2017
214,61768,Cancelled,28-01-2017,29-01-2017,1,842,2014,443,28-01-2017
215,181249,Stayed,25-01-2017,26-01-2017,1,220,1429,303,25-01-2017
216,139865,Cancelled,31-01-2017,01-02-2017,1,299,2664,563,30-01-2017
217,119565,Stayed,28-01-2017,29-01-2017,1,299,3444,728,28-01-2017
218,29684,Stayed,28-01-2017,29-01-2017,1,299,3769,798,28-01-2017
219,6513,Stayed,27-01-2017,28-01-2017,1,299,2924,618,27-01-2017
220,29684,Cancelled,28-01-2017,29-01-2017,1,299,4484,948,25-01-2017
221,29684,Cancelled,28-01-2017,29-01-2017,1,299,5134,1086,24-01-2017
222,183919,Stayed,31-01-2017,01-02-2017,1,299,2664,586,31-01-2017
223,162144,Stayed,15-01-2017,17-01-2017,1,299,6497,1429,14-01-2017
224,188854,Cancelled,17-01-2017,18-01-2017,1,299,3249,688,16-01-2017
225,72807,Stayed,16-01-2017,17-01-2017,1,299,2924,743,16-01-2017
226,121464,Stayed,14-01-2017,15-01-2017,1,299,3509,743,14-01-2017
227,72807,Cancelled,15-01-2017,16-01-2017,1,299,3249,825,15-01-2017
228,78264,Cancelled,14-01-2017,15-01-2017,1,299,3509,772,11-01-2017
229,188854,Cancelled,12-01-2017,13-01-2017,1,299,2924,618,12-01-2017
230,119565,Stayed,20-01-2017,21-01-2017,1,299,3054,776,19-01-2017
231,143969,Stayed,16-01-2017,18-01-2017,1,299,5977,1265,16-01-2017
232,119466,Cancelled,04-01-2017,05-01-2017,1,299,3639,924,03-01-2017
233,94377,Stayed,30-01-2017,31-01-2017,1,315,3576,787,30-01-2017
234,112615,Stayed,30-01-2017,31-01-2017,1,315,2426,514,30-01-2017
235,112615,Stayed,30-01-2017,31-01-2017,1,315,3110,658,30-01-2017
236,112615,Cancelled,30-01-2017,31-01-2017,2,315,6219,1316,30-01-2017
237,133250,Stayed,24-01-2017,25-01-2017,1,315,3054,646,23-01-2017
238,69769,Stayed,18-01-2017,19-01-2017,1,315,3119,660,15-01-2017
239,188854,Stayed,11-01-2017,12-01-2017,1,315,3509,743,11-01-2017
240,159675,No Show,10-01-2017,11-01-2017,2,315,6237,1583,10-01-2017
241,188854,Stayed,09-01-2017,10-01-2017,1,315,3639,924,07-01-2017
242,133250,Stayed,08-01-2017,09-01-2017,1,315,3639,924,08-01-2017
243,188854,Cancelled,17-01-2017,18-01-2017,1,315,3054,646,17-01-2017
244,188854,Stayed,03-01-2017,04-01-2017,1,315,3704,941,02-01-2017
245,21016,Stayed,21-01-2017,22-01-2017,1,309,2599,550,20-01-2017
246,119466,Cancelled,11-01-2017,12-01-2017,1,309,2599,660,09-01-2017
247,194263,Stayed,23-01-2017,24-01-2017,1,557,2079,440,23-01-2017
248,162144,Cancelled,16-01-2017,17-01-2017,1,557,2989,633,16-01-2017
249,189124,Stayed,05-01-2017,06-01-2017,1,557,2989,759,05-01-2017
250,7701,Stayed,11-01-2017,12-01-2017,1,557,3574,756,10-01-2017
251,152290,Stayed,10-01-2017,11-01-2017,1,557,2664,677,10-01-2017
252,18979,Cancelled,28-01-2017,29-01-2017,1,132,4679,990,20-01-2017
253,34712,Stayed,25-01-2017,26-01-2017,1,132,3899,825,25-01-2017
254,19531,Cancelled,26-01-2017,28-01-2017,1,132,10787,2738,25-01-2017
255,107631,Stayed,08-01-2017,09-01-2017,1,132,3509,921,07-01-2017
256,163562,Stayed,26-01-2017,27-01-2017,1,883,3588,759,22-01-2017
257,73708,Stayed,24-01-2017,25-01-2017,1,883,3588,759,22-01-2017
258,40182,Stayed,24-01-2017,25-01-2017,1,883,3588,759,24-01-2017
259,85715,Cancelled,21-01-2017,22-01-2017,1,883,4399,931,21-01-2017
260,172006,Stayed,14-01-2017,15-01-2017,1,883,3752,794,14-01-2017
261,159422,Stayed,10-01-2017,11-01-2017,1,883,2102,534,10-01-2017
262,128921,Cancelled,10-01-2017,11-01-2017,1,883,1620,425,10-01-2017
263,134918,Stayed,19-01-2017,20-01-2017,1,883,2253,476,19-01-2017
264,29885,Stayed,17-01-2017,18-01-2017,1,565,4354,921,17-01-2017
265,24613,Stayed,19-01-2017,20-01-2017,1,31,4159,880,19-01-2017
266,64956,Stayed,18-01-2017,19-01-2017,1,31,3899,825,16-01-2017
267,182461,Cancelled,16-01-2017,18-01-2017,1,31,9747,2474,12-01-2017
268,2162,Stayed,10-01-2017,11-01-2017,1,31,4159,1056,10-01-2017
269,33978,Stayed,15-01-2017,16-01-2017,1,884,4874,1073,13-01-2017
270,7412,Cancelled,20-01-2017,21-01-2017,1,884,4744,1003,07-01-2017
271,60319,No Show,21-01-2017,22-01-2017,1,265,3899,990,20-01-2017
272,12255,Cancelled,23-02-2017,26-02-2017,1,473,7601,1608,31-01-2017
273,3585,Cancelled,27-01-2017,28-01-2017,1,473,2729,578,25-01-2017
274,182493,No Show,26-01-2017,27-01-2017,1,473,2469,523,25-01-2017
275,100201,Cancelled,26-01-2017,27-01-2017,1,473,2014,426,26-01-2017
276,160469,Cancelled,25-01-2017,26-01-2017,1,473,2014,853,25-01-2017
277,8760,Stayed,21-01-2017,22-01-2017,1,473,2469,523,19-01-2017
278,82622,Stayed,17-01-2017,18-01-2017,1,473,2729,693,17-01-2017
279,85562,Stayed,14-01-2017,15-01-2017,1,473,2664,563,14-01-2017
280,5049,Stayed,08-01-2017,09-01-2017,1,473,2469,627,06-01-2017
281,165056,Stayed,05-01-2017,06-01-2017,1,473,2469,648,04-01-2017
282,75870,Stayed,04-01-2017,05-01-2017,1,473,2144,545,04-01-2017
283,184360,Cancelled,02-01-2017,03-01-2017,1,473,2989,759,01-01-2017
284,62184,Cancelled,07-01-2017,08-01-2017,1,473,2469,627,05-01-2017
285,19017,Stayed,25-01-2017,26-01-2017,1,397,4289,908,25-01-2017
286,15445,Cancelled,18-01-2017,19-01-2017,1,397,4744,1003,16-01-2017
287,15445,Cancelled,18-01-2017,19-01-2017,1,397,4744,1003,15-01-2017
288,19017,Stayed,10-01-2017,11-01-2017,1,397,3379,858,10-01-2017
289,19017,No Show,08-01-2017,09-01-2017,1,397,5069,1287,06-01-2017
290,19017,Cancelled,06-01-2017,07-01-2017,1,397,5069,1287,04-01-2017
291,14120,Stayed,28-01-2017,29-01-2017,1,170,2274,481,28-01-2017
292,143338,Stayed,20-01-2017,21-01-2017,1,170,2079,440,20-01-2017
293,143338,Stayed,19-01-2017,20-01-2017,1,170,2209,468,18-01-2017
294,143338,Stayed,18-01-2017,19-01-2017,1,170,2209,468,18-01-2017
295,143338,Stayed,17-01-2017,18-01-2017,1,170,2014,426,17-01-2017
296,143338,Stayed,13-01-2017,14-01-2017,1,170,2404,508,13-01-2017
297,143338,Stayed,11-01-2017,12-01-2017,1,170,1949,413,11-01-2017
298,143338,Stayed,04-01-2017,05-01-2017,1,170,2014,512,04-01-2017
299,143338,Stayed,03-01-2017,04-01-2017,1,170,2209,561,03-01-2017
300,48615,Stayed,04-02-2017,05-02-2017,1,73,3314,701,25-01-2017
301,34654,Stayed,16-01-2017,17-01-2017,1,73,2209,468,13-01-2017
302,34654,Stayed,15-01-2017,16-01-2017,1,73,2209,468,14-01-2017
303,53976,Stayed,14-01-2017,15-01-2017,1,73,2209,468,13-01-2017
304,189707,Stayed,13-01-2017,15-01-2017,1,73,5717,1210,13-01-2017
305,189707,Cancelled,13-01-2017,15-01-2017,1,73,5717,1210,12-01-2017
306,56630,Cancelled,10-02-2017,12-02-2017,1,229,9357,1980,19-01-2017
307,158276,Stayed,27-01-2017,28-01-2017,1,229,4549,963,26-01-2017
308,112633,Cancelled,07-01-2017,08-01-2017,1,229,3379,858,06-01-2017
309,27204,Stayed,09-01-2017,10-01-2017,1,570,2924,767,07-01-2017
310,27204,Stayed,08-01-2017,09-01-2017,1,570,2794,733,07-01-2017
311,27204,Cancelled,08-01-2017,10-01-2017,1,570,9227,2420,03-01-2017
312,88939,Stayed,02-01-2017,03-01-2017,1,570,3769,798,02-01-2017
313,88939,Stayed,04-01-2017,05-01-2017,1,570,3119,792,03-01-2017
314,88939,Stayed,03-01-2017,04-01-2017,1,570,3509,891,02-01-2017
315,114763,Cancelled,30-01-2017,31-01-2017,1,427,4614,1172,30-01-2017
316,83896,Stayed,25-01-2017,26-01-2017,1,428,5849,1238,23-01-2017
317,68866,Cancelled,03-03-2017,04-03-2017,1,99,6824,1733,27-01-2017
318,186429,Cancelled,30-01-2017,31-01-2017,1,99,3964,838,30-01-2017
319,9198,Stayed,06-01-2017,07-01-2017,1,901,4354,1106,06-01-2017
320,123932,Stayed,18-01-2017,19-01-2017,1,142,3899,825,18-01-2017
321,15767,Stayed,14-01-2017,15-01-2017,1,357,3574,756,10-01-2017
322,7971,Cancelled,27-01-2017,28-01-2017,1,357,3574,756,27-01-2017
323,13209,Cancelled,24-01-2017,25-01-2017,1,817,4939,1045,23-01-2017
324,172055,Stayed,28-01-2017,29-01-2017,1,439,3964,838,28-01-2017
325,7971,Stayed,27-01-2017,28-01-2017,1,439,3314,701,27-01-2017
326,172055,Stayed,23-01-2017,24-01-2017,1,439,3509,743,23-01-2017
327,56558,Stayed,14-01-2017,15-01-2017,1,439,3574,756,14-01-2017
328,66097,Cancelled,14-01-2017,15-01-2017,1,439,3574,908,14-01-2017
329,134413,Cancelled,01-02-2017,02-02-2017,1,301,3054,776,31-01-2017
330,171359,Stayed,30-01-2017,31-01-2017,1,301,2404,508,29-01-2017
331,111098,Stayed,25-01-2017,26-01-2017,1,301,2664,563,25-01-2017
332,33359,Stayed,21-01-2017,22-01-2017,1,301,3054,646,20-01-2017
333,84259,Stayed,14-01-2017,15-01-2017,1,301,3379,858,14-01-2017
334,195741,No Show,10-01-2017,11-01-2017,1,301,2859,605,05-01-2017
335,60460,Cancelled,29-01-2017,30-01-2017,1,301,2404,529,29-01-2017
336,119466,Cancelled,13-01-2017,14-01-2017,1,301,3379,858,12-01-2017
337,60557,Cancelled,10-01-2017,11-01-2017,1,301,3444,875,09-01-2017
338,114013,Cancelled,09-03-2017,11-03-2017,1,296,6692,1416,11-01-2017
339,114013,Cancelled,07-03-2017,09-03-2017,1,296,6757,1430,11-01-2017
340,90625,Stayed,31-01-2017,01-02-2017,1,296,2079,458,31-01-2017
341,137366,Stayed,22-01-2017,23-01-2017,1,296,3314,842,22-01-2017
342,126313,Stayed,11-01-2017,12-01-2017,1,296,2989,784,09-01-2017
